Title,Price,URL
Brokered by @properties Bucktown,"$425,000",https://www.realtor.com/realestateandhomes-detail/2044-N-Winchester-Ave-Apt-2F_Chicago_IL_60614_M86764-34046?from=srp-list-card
Brokered by Dream Town Realty,"$1,649,000",https://www.realtor.com/realestateandhomes-detail/1000-W-Washington-Blvd-Unit-505_Chicago_IL_60607_M83903-77341?from=srp-list-card
Brokered by Solaris Enterprises Inc,"$329,900",https://www.realtor.com/realestateandhomes-detail/915-N-Menard-Ave_Chicago_IL_60651_M78286-17776?from=srp-list-card
Brokered by Redfin Corporation,"$270,000",https://www.realtor.com/realestateandhomes-detail/737-W-Wellington-Ave-Apt-1_Chicago_IL_60657_M87975-58633?from=srp-list-card
Brokered by @properties East Lincoln Park,"$295,000",https://www.realtor.com/realestateandhomes-detail/7546-S-Marshfield-Ave_Chicago_IL_60620_M80828-30811?from=srp-list-card
No Title,"$405,000",https://www.realtor.com/realestateandhomes-detail/5330-S-Newcastle-Ave_Chicago_IL_60638_M74399-61111?from=srp-list-card
No Title,"$299,500",https://www.realtor.com/realestateandhomes-detail/5140-S-Latrobe-Ave_Chicago_IL_60638_M70993-36211?from=srp-list-card
No Title,"$384,500",https://www.realtor.com/realestateandhomes-detail/5844-S-Melvina-Ave_Chicago_IL_60638_M77366-12535?from=srp-list-card
No Title,"$397,900",https://www.realtor.com/realestateandhomes-detail/5248-S-Central-Ave_Chicago_IL_60638_M76971-31455?from=srp-list-card
No Title,"$459,900",https://www.realtor.com/realestateandhomes-detail/5515-S-Rutherford-Ave_Chicago_IL_60638_M79026-92320?from=srp-list-card
No Title,"$329,900",https://www.realtor.com/realestateandhomes-detail/4816-S-Lotus-Ave_Chicago_IL_60638_M77759-86189?from=srp-list-card
No Title,"$219,900",https://www.realtor.com/realestateandhomes-detail/6154-W-63rd-St-Unit-1W_Chicago_IL_60638_M80398-82775?from=srp-list-card
No Title,"$359,500",https://www.realtor.com/realestateandhomes-detail/5712-S-Natchez-Ave_Chicago_IL_60638_M75017-60639?from=srp-list-card
